IP;MAC;Máscara;DATA;NomeDNS;TAG
10.37.125.65;00:1A:3F:80:E4:87;255.255.255.0;2024-09-19 09:04:51;10.37.125.65;
10.37.14.4;10:05:01:98:88:B5;255.255.255.0;2024-09-19 10:57:51;EDPE3125964;
10.37.78.240;40:16:7E:BC:57:F7;255.255.255.0;2024-09-18 14:08:58;10.37.78.240;
10.37.78.100;6C:2B:59:FE:E7:D7;255.255.255.0;2024-09-19 10:20:26;EDPE3988732;
10.37.24.165;10:05:01:98:89:99;255.255.255.0;2024-09-19 10:19:13;10.37.24.165;
10.37.24.4;B4:2E:99:D9:05:36;255.255.255.0;2024-09-19 10:19:13;EDPE3942948;
10.37.24.222;D0:94:66:B7:A1:BE;255.255.255.0;2024-09-19 10:19:13;10.37.24.222;
10.37.38.191;D0:27:88:C2:71:A4;255.255.255.0;2024-09-18 13:28:44;DTI-PC;
10.37.48.23;80:FA:5B:A6:F8:2A;255.255.255.0;2024-09-17 09:10:59;10.37.48.23;
10.37.116.91;50:E5:49:FC:F0:4E;255.255.255.0;2024-09-19 10:57:34;DESKTOP-7EJBKPA;
10.37.2.208;70:B3:D5:4E:A7:9E;255.255.255.0;2024-09-19 09:02:08;10.37.2.208;
10.37.22.4;00:15:5D:16:02:00;255.255.255.0;2024-09-19 09:44:05;COETUSPEL2;
10.37.22.38;00:40:A7:2B:9E:CD;255.255.255.0;2024-09-19 09:44:05;EDPE1108649;
10.37.22.139;00:E0:4C:CD:10:48;255.255.255.0;2024-09-19 09:44:05;ESCOLA08;
10.37.22.92;10:05:01:98:88:1C;255.255.255.0;2024-09-19 09:44:05;DIRECAO-B;
10.37.22.208;70:B3:D5:4E:A0:98;255.255.255.0;2024-09-19 09:44:05;10.37.22.208;
10.37.22.57;D0:94:66:B4:09:EF;255.255.255.0;2024-09-19 09:44:05;DESKTOP-1MC0GN4;
10.37.23.15;00:0A:CD:00:01:A6;255.255.255.0;2024-09-18 16:26:23;10.37.23.15;
10.37.23.225;80:85:44:99:95:A0;255.255.255.0;2024-09-19 07:34:40;10.37.23.225;
10.37.23.226;80:85:44:99:95:A3;255.255.255.0;2024-09-19 07:34:40;10.37.23.226;
10.37.23.227;80:85:44:99:96:E2;255.255.255.0;2024-09-19 07:34:40;10.37.23.227;
10.37.23.229;80:85:44:99:9A:33;255.255.255.0;2024-09-19 07:34:40;10.37.23.229;
10.37.23.228;80:85:44:A0:D8:B9;255.255.255.0;2024-09-19 07:34:40;10.37.23.228;
10.37.4.50;D0:94:66:CB:1B:56;255.255.255.0;2024-09-18 18:24:16;EDPE3972896;
10.37.4.210;2C:F0:5D:4B:A0:CC;255.255.255.0;2024-09-18 23:27:33;10.37.4.210;
10.37.4.15;6C:B3:11:5B:A3:FB;255.255.255.0;2024-09-19 08:57:36;10.37.4.15;
10.37.4.233;00:0F:EA:D9:77:41;255.255.255.0;2024-09-19 09:36:59;PEM-PONTO01;
10.37.4.234;00:11:25:88:55:FC;255.255.255.0;2024-09-19 09:36:59;PEM-PONTO02;
10.37.4.196;D4:3D:7E:90:2E:46;255.255.255.0;2024-09-19 09:36:59;10.37.4.196;
10.37.40.252;00:0A:CD:00:07:1E;255.255.255.0;2024-09-19 10:41:11;10.37.40.252;
10.37.172.14;0C:54:A5:BD:41:AE;255.255.255.0;2024-09-19 09:49:04;EDPE4057856;
10.37.18.167;10:05:01:98:8E:61;255.255.255.0;2024-09-19 08:10:41;10.37.18.167;
10.37.58.63;1C:69:7A:ED:69:5F;255.255.255.0;2024-09-18 20:37:17;DESKTOP-2N5A4N7;
10.37.58.62;0A:E0:AF:B4:60:67;255.255.255.0;2024-09-19 11:45:54;DESKTOP-10P3JQE;
10.37.8.49;00:25:22:B9:E0:1E;255.255.255.0;2024-09-18 17:47:00;EDPE1126076;
10.37.75.240;08:00:27:BF:A2:E5;255.255.255.0;2024-09-18 14:02:13;DESKTOP-1;
10.37.75.5;04:7C:16:DF:CC:82;255.255.255.0;2024-09-19 09:58:36;ATENA;
10.37.75.121;1C:69:7A:ED:81:8E;255.255.255.0;2024-09-19 09:58:36;EDPE4055631;
10.37.75.122;1C:69:7A:ED:86:7F;255.255.255.0;2024-09-19 09:58:36;EDPE4055632;
10.37.75.123;1C:69:7A:ED:87:02;255.255.255.0;2024-09-19 09:58:36;EDPE4055633;
10.37.75.8;D0:50:99:57:99:CD;255.255.255.0;2024-09-19 09:58:36;10.37.75.8;
10.37.127.185;18:C0:4D:F3:45:DC;255.255.255.0;2024-09-19 11:06:34;10.37.127.185;
10.37.68.55;94:C6:91:C5:75:48;255.255.255.0;2024-09-19 08:05:27;DESKTOP-46LM1EP;
10.37.68.41;94:C6:91:C5:75:81;255.255.255.0;2024-09-19 08:05:27;EDPE939660;
10.37.42.246;10:05:01:98:8D:2C;255.255.255.0;2024-09-19 11:17:21;EDPE3126035;
10.37.42.202;20:25:64:91:73:D6;255.255.255.0;2024-09-19 11:17:21;EDPE4057868;
10.37.42.2;2C:FD:A1:C8:70:D4;255.255.255.0;2024-09-19 11:17:21;DESKTOP-9RFEM8B;
10.37.73.102;64:1C:67:70:51:36;255.255.255.0;2024-09-19 10:10:05;PAT-55809;
10.37.73.34;C8:7F:54:D0:96:17;255.255.255.0;2024-09-19 09:22:00;10.37.73.34;
10.37.73.100;C8:CB:B8:0B:8B:60;255.255.255.0;2024-09-19 10:10:05;PAT-54713;
10.37.7.28;D0:94:66:D8:F0:8D;255.255.255.0;2024-09-19 11:27:01;EDPE3975006;
10.37.90.31;1C:69:7A:ED:37:6D;255.255.255.0;2024-09-18 15:32:22;10.37.90.31;
10.37.90.32;1C:69:7A:ED:66:D8;255.255.255.0;2024-09-19 09:55:24;DESKTOP-B2HDAGL;
10.37.90.47;1C:69:7A:ED:67:4A;255.255.255.0;2024-09-19 09:55:24;DESKTOP-P1N8J9I;
10.37.90.48;1C:69:7A:ED:69:46;255.255.255.0;2024-09-19 09:55:24;10.37.90.48;
10.37.90.34;1C:69:7A:ED:69:92;255.255.255.0;2024-09-19 09:55:24;DESKTOP-R3AUFNT;
10.37.90.15;2C:F0:5D:4B:A6:72;255.255.255.0;2024-09-19 09:55:24;EDPE3948961;
10.37.90.6;D0:94:66:CB:13:6E;255.255.255.0;2024-09-19 09:55:24;EDPE3972625;
10.37.90.8;D0:94:66:CB:16:87;255.255.255.0;2024-09-19 09:55:24;EDPE3972605;
10.37.33.27;10:05:01:98:8C:6F;255.255.255.0;2024-09-19 10:44:25;10.37.33.27;depen
10.37.33.244;10:05:01:98:8C:7F;255.255.255.0;2024-09-19 10:44:25;IMAGEM-WINDOWS10-POSITIVO-D610;depen
10.37.33.8;34:97:F6:EA:D8:0B;255.255.255.0;2024-09-19 10:44:25;CPLN-DISED2;
10.37.33.113;6C:F0:49:F7:C5:44;255.255.255.0;2024-09-19 10:44:25;CPLN-SERVIDOR;
10.37.33.82;94:C6:91:C5:76:57;255.255.255.0;2024-09-19 10:44:25;10.37.33.82;
10.37.32.39;10:05:01:98:87:2E;255.255.255.0;2024-09-19 09:54:23;EDPEPECOV01;
10.37.32.208;70:B3:D5:4E:A0:4C;255.255.255.0;2024-09-19 09:54:23;10.37.32.208;
10.37.32.41;94:C6:91:C5:76:03;255.255.255.0;2024-09-19 09:54:23;EDPEPECOPL1;
10.37.32.10;D0:94:66:CB:13:37;255.255.255.0;2024-09-19 09:54:23;SERVER;
10.37.82.41;00:18:7D:92:F1:ED;255.255.255.0;2024-09-19 10:08:01;EDPE3991402;
10.37.82.27;00:18:7D:92:F1:F4;255.255.255.0;2024-09-19 10:08:01;EDPE3991407;
10.37.82.33;00:40:A7:2B:25:8A;255.255.255.0;2024-09-19 10:08:01;EDPE3940305;
